iter	F1	Logloss
0	0.844103933	0.6583253906
1	0.8531986554	0.6261636671
2	0.8531986554	0.5985774245
3	0.8528704705	0.5733320491
4	0.8528704705	0.5502947787
5	0.8529114798	0.5316697004
6	0.8527884637	0.5150188395
7	0.8527884637	0.5007962569
8	0.8527884637	0.4873659043
9	0.8527884637	0.477409019
10	0.8527884637	0.4723252721
11	0.8527884637	0.4624480094
12	0.8527884637	0.4532204712
13	0.8527884637	0.4451879531
14	0.8528704705	0.4420942715
15	0.8528294651	0.4358501443
16	0.8528704705	0.4335121427
17	0.8528294651	0.4286476431
18	0.8528294651	0.4244421071
19	0.8528704705	0.4198567223
20	0.8529114798	0.4175827261
21	0.8529114798	0.4139651306
22	0.8529114798	0.4125560611
23	0.8529114798	0.4109802807
24	0.8529114798	0.4090823604
25	0.8529114798	0.4052545097
26	0.8529114798	0.4021189569
27	0.8529114798	0.4006659645
28	0.8529935102	0.399468583
29	0.8529935102	0.3983001279
30	0.8530345314	0.3970390481
31	0.8531165855	0.3947462543
32	0.8532396963	0.3921831524
33	0.8531986554	0.3908833246
34	0.8531986554	0.3893588166
35	0.8532396963	0.3885430709
36	0.8534860244	0.3875222704
37	0.8535270929	0.3866615268
38	0.8536092418	0.38475438
39	0.8538968876	0.3838925939
40	0.8538146833	0.3826193285
41	0.8538557834	0.3815345687
42	0.8538146833	0.3806955123
43	0.8539791077	0.3801668888
44	0.8541435954	0.3791821063
45	0.8541435954	0.378573861
46	0.8540202236	0.377970355
47	0.8542670027	0.3772525567
48	0.854225863	0.3768213171
49	0.854555092	0.3762051363
50	0.8545962635	0.3751761886
51	0.8546374389	0.3746315384
52	0.8554617818	0.3742198666
53	0.8555443035	0.373207952
54	0.8557093948	0.3729607998
55	0.8558332551	0.3726667367
56	0.8557919643	0.372551346
57	0.8557506776	0.3722033838
58	0.8558745498	0.3719336366
59	0.8562050511	0.3715911855
60	0.8565771704	0.3712475235
61	0.8566185369	0.371006447
62	0.8566185369	0.3702419355
63	0.8568254296	0.3699012176
64	0.8568254296	0.3695658856
65	0.8567840431	0.3686145904
66	0.856701282	0.3685504293
67	0.8568668202	0.3681722957
68	0.8574052612	0.367868021
69	0.8573638187	0.3676600419
70	0.8574881584	0.367349595
71	0.8574881584	0.36714861
72	0.8574467078	0.3669071305
73	0.8574467078	0.3668666544
74	0.857736946	0.3666700173
75	0.8576125342	0.3666343422
76	0.857529613	0.3666007846
77	0.8579858781	0.3663143104
78	0.8580273808	0.3660852853
79	0.8580273808	0.3659324398
80	0.8579028847	0.3657729401
81	0.8579858781	0.36558319
82	0.8580273808	0.3651928158
83	0.8581103983	0.3648251744
84	0.858442629	0.3645099588
85	0.8585257269	0.364330628
86	0.8586504039	0.364248675
87	0.8589414577	0.3640479877
88	0.8588998665	0.3639725288
89	0.8590662555	0.3638339148
90	0.8591078628	0.3636986987
91	0.8593575914	0.3635285893
92	0.8596074652	0.3632737803
93	0.8598158043	0.362888231
94	0.8600659447	0.3625085543
95	0.8599825484	0.3624230394
96	0.8601910695	0.3622681541
97	0.8601076489	0.3621651134
98	0.8604831689	0.3619422925
99	0.8605666623	0.3616827862
100	0.8605249136	0.3616010754
101	0.8605666623	0.3614237684
102	0.860900798	0.3611337759
103	0.8611097647	0.3604137805
104	0.8611933798	0.3601140052
105	0.8613606586	0.3599973617
106	0.8611933798	0.359801841
107	0.8615280025	0.3595389637
108	0.8614861604	0.3593486096
109	0.8617791402	0.3590365933
110	0.8619885335	0.3588206082
111	0.8613303046	0.3585662235
112	0.8617074314	0.3583011155
113	0.8613837573	0.3580522631
114	0.8621688129	0.3578504701
115	0.861917089	0.3575757048
116	0.861467665	0.35753947
117	0.8623367105	0.3573376034
118	0.8624206838	0.3571864358
119	0.8632050242	0.3570507909
120	0.8627147193	0.3568908343
121	0.8636673504	0.3567254898
122	0.8630510054	0.3564776752
123	0.8630930596	0.3562763123
124	0.8639197371	0.3560940173
125	0.8633033921	0.3558833305
126	0.8633033921	0.3558321095
127	0.863345471	0.3557259962
128	0.8633875539	0.3555858755
129	0.8642143748	0.3553373431
130	0.8631492586	0.3551373982
131	0.8631913826	0.3550643952
132	0.8640192901	0.3547225506
133	0.8641035915	0.3546666417
134	0.8643987758	0.3544367653
135	0.8643987758	0.3543799816
136	0.8639081195	0.3542485425
137	0.8639503175	0.3540634885
138	0.8632900098	0.3538716354
139	0.863669941	0.3537505251
140	0.8635854829	0.3536247461
141	0.8630931803	0.3534951609
142	0.8633044184	0.3534038023
